Datetime,Hash,Parent,Author,Commit Msg,Filepath,Filename,Removed Test Case
07/03/2014 15:26:42,"=HYPERLINK(""https://github.com/jfree/jfreechart/commit/1dfd60f1c848270b6af65224fd597a4670575e82"", ""1dfd60f1c848270b6af65224fd597a4670575e82"")","=HYPERLINK(""https://github.com/jfree/jfreechart/commit/3f6fcb84c7d7f6a871834e54546eb56d01acea56"", ""3f6fcb84c7d7f6a871834e54546eb56d01acea56"")",jfree@users.noreply.github.com,Fix method name.,tests/org/jfree/chart/axis/LogAxisTest.java,LogAxisTest.java,testrefreshTicksWithZeroTickUnit
03/07/2017 11:39:11,"=HYPERLINK(""https://github.com/jfree/jfreechart/commit/949365da759b3ea009185090fb4b27e75d768793"", ""949365da759b3ea009185090fb4b27e75d768793"")","=HYPERLINK(""https://github.com/jfree/jfreechart/commit/9f02d1c1343faea1b3fc9462284ab35dc0c5f2a6"", ""9f02d1c1343faea1b3fc9462284ab35dc0c5f2a6"")",dave@jfree.org,Incorporate required JCommon classes directly.,src/test/java/org/jfree/chart/annotations/XYImageAnnotationTest.java,XYImageAnnotationTest.java,testEquals
,,,,,,,testHashCode
,,,,,,,testCloning
,,,,,,,testPublicCloneable
,,,,,src/test/java/org/jfree/chart/title/ImageTitleTest.java,ImageTitleTest.java,testEquals
,,,,,,,testHashcode
,,,,,,,testCloning
,,,,,,,testWidthAndHeight
,,,,,,,testArrangeNN
03/09/2017 03:48:20,"=HYPERLINK(""https://github.com/jfree/jfreechart/commit/e4e04e10a80308f2dd5784956d684376faf5b608"", ""e4e04e10a80308f2dd5784956d684376faf5b608"")","=HYPERLINK(""https://github.com/jfree/jfreechart/commit/a6696e78493374c9e8afb9785452dca0be505e5e"", ""a6696e78493374c9e8afb9785452dca0be505e5e"")",dave@jfree.org,Remove deprecated code and update tests.,src/test/java/org/jfree/data/time/TimeSeriesTest.java,TimeSeriesTest.java,testEquals3
03/09/2017 10:28:04,"=HYPERLINK(""https://github.com/jfree/jfreechart/commit/07059fb93ed38147f8ded82ec8d1bf5400be1952"", ""07059fb93ed38147f8ded82ec8d1bf5400be1952"")","=HYPERLINK(""https://github.com/jfree/jfreechart/commit/9473d89fe2e5b3c0586e502af7ecce1f7a43a3bc"", ""9473d89fe2e5b3c0586e502af7ecce1f7a43a3bc"")",dave@jfree.org,Remove deprecated classes.,src/test/java/org/jfree/chart/axis/ColorBarTest.java,ColorBarTest.java,testEquals
,,,,,,,testHashCode
,,,,,,,testCloning
,,,,,,,testSerialization
,,,,,src/test/java/org/jfree/chart/plot/ContourPlotTest.java,ContourPlotTest.java,testSerialization
03/09/2017 10:36:19,"=HYPERLINK(""https://github.com/jfree/jfreechart/commit/4076fe1df622d29ac05593469b55fb1c229bfce1"", ""4076fe1df622d29ac05593469b55fb1c229bfce1"")","=HYPERLINK(""https://github.com/jfree/jfreechart/commit/07059fb93ed38147f8ded82ec8d1bf5400be1952"", ""07059fb93ed38147f8ded82ec8d1bf5400be1952"")",dave@jfree.org,Remove deprecated classes.,src/test/java/org/jfree/chart/entity/ContourEntityTest.java,ContourEntityTest.java,testEquals
,,,,,,,testCloning
,,,,,,,testSerialization
,,,,,src/test/java/org/jfree/chart/labels/StandardContourToolTipGeneratorTest.java,StandardContourToolTipGeneratorTest.java,testSerialization
,,,,,src/test/java/org/jfree/chart/plot/ColorPaletteTest.java,ColorPaletteTest.java,testCloning
,,,,,,,testEquals
03/10/2017 09:59:03,"=HYPERLINK(""https://github.com/jfree/jfreechart/commit/61220d6f207fdee783a87ad7428baa0d61c7ad79"", ""61220d6f207fdee783a87ad7428baa0d61c7ad79"")","=HYPERLINK(""https://github.com/jfree/jfreechart/commit/4076fe1df622d29ac05593469b55fb1c229bfce1"", ""4076fe1df622d29ac05593469b55fb1c229bfce1"")",dave@jfree.org,Remove deprecated code,src/test/java/org/jfree/chart/renderer/AbstractRendererTest.java,AbstractRendererTest.java,testSetSeriesVisible
,,,,,,,testSetPaint
,,,,,,,testSetOutlinePaint
,,,,,,,testSetStroke
,,,,,,,testSetOutlineStroke
,,,,,,,testSetShape
,,,,,,,testSetItemLabelsVisible
,,,,,,,testSetItemLabelFont
,,,,,,,testSetItemLabelPaint
,,,,,,,testSetPositiveItemLabelPosition
,,,,,,,testSetNegativeItemLabelPosition
03/10/2017 12:23:23,"=HYPERLINK(""https://github.com/jfree/jfreechart/commit/1be317c64d9b5b295ca9b519f80f81779b418868"", ""1be317c64d9b5b295ca9b519f80f81779b418868"")","=HYPERLINK(""https://github.com/jfree/jfreechart/commit/293b2021b7befc0fb331c035fa5b4642da8bc1f2"", ""293b2021b7befc0fb331c035fa5b4642da8bc1f2"")",dave@jfree.org,Remove deprecated code,src/test/java/org/jfree/chart/BarChart3DTest.java,BarChart3DTest.java,testDrawWithNullInfo
,,,,,,,testReplaceDataset
,,,,,,,testSetSeriesToolTipGenerator
,,,,,,,testSetSeriesURLGenerator
,,,,,src/test/java/org/jfree/chart/LineChart3DTest.java,LineChart3DTest.java,testDrawWithNullInfo
,,,,,,,testReplaceDataset
,,,,,,,testSetSeriesToolTipGenerator
,,,,,,,testSetSeriesURLGenerator
,,,,,src/test/java/org/jfree/chart/StackedBarChart3DTest.java,StackedBarChart3DTest.java,testDrawWithNullInfo
,,,,,,,testReplaceDataset
,,,,,,,testSetSeriesToolTipGenerator
,,,,,,,testSetSeriesURLGenerator
,,,,,src/test/java/org/jfree/chart/renderer/category/BarRenderer3DTest.java,BarRenderer3DTest.java,testEquals
,,,,,,,testHashcode
,,,,,,,testCloning
,,,,,,,testPublicCloneable
,,,,,,,testSerialization
,,,,,src/test/java/org/jfree/chart/renderer/category/LineRenderer3DTest.java,LineRenderer3DTest.java,testEquals
,,,,,,,testHashcode
,,,,,,,testCloning
,,,,,,,testPublicCloneable
,,,,,,,testSerialization
,,,,,src/test/java/org/jfree/chart/renderer/category/StackedBarRenderer3DTest.java,StackedBarRenderer3DTest.java,testFindRangeBounds
,,,,,,,testEquals
,,,,,,,testHashcode
,,,,,,,testCloning
,,,,,,,testPublicCloneable
,,,,,,,testSerialization
,,,,,,,testCreateStackedValueList1
,,,,,,,testCreateStackedValueList2
,,,,,,,testCreateStackedValueList3
,,,,,,,testCreateStackedValueList4
,,,,,,,testCreateStackedValueList1a
,,,,,,,testCreateStackedValueList1b
,,,,,,,testCreateStackedValueList1c
,,,,,,,testCreateStackedValueList1d
,,,,,,,testCreateStackedValueList2a
,,,,,,,testCreateStackedValueList2b
,,,,,,,testCreateStackedValueList2c
,,,,,,,testCreateStackedValueList2d
,,,,,,,testCreateStackedValueList3a
,,,,,,,testCreateStackedValueList3b
,,,,,,,testCreateStackedValueList3c
,,,,,,,testCreateStackedValueList3d
,,,,,,,testCreateStackedValueList5
03/10/2017 12:57:40,"=HYPERLINK(""https://github.com/jfree/jfreechart/commit/79679c0545f5167515d40e2f23f19e91aa691077"", ""79679c0545f5167515d40e2f23f19e91aa691077"")","=HYPERLINK(""https://github.com/jfree/jfreechart/commit/1be317c64d9b5b295ca9b519f80f81779b418868"", ""1be317c64d9b5b295ca9b519f80f81779b418868"")",dave@jfree.org,Remove deprecated code,src/test/java/org/jfree/chart/axis/SegmentedTimelineAdditionalTest.java,SegmentedTimelineAdditionalTest.java,test1
,,,,,,,test2
,,,,,,,test3
,,,,,,,test4
,,,,,,,test5
,,,,,,,test6
,,,,,,,test7
,,,,,,,test8
,,,,,src/test/java/org/jfree/chart/axis/SegmentedTimelineTest.java,SegmentedTimelineTest.java,testMsSegmentedTimeline
,,,,,,,testMs2SegmentedTimeline
,,,,,,,testMondayThroughFridaySegmentedTimeline
,,,,,,,testFifteenMinSegmentedTimeline
,,,,,,,testMsSegment
,,,,,,,testMs2Segment
,,,,,,,testMondayThroughFridaySegment
,,,,,,,testFifteenMinSegment
,,,,,,,testMsInc
,,,,,,,testMs2Inc
,,,,,,,testMondayThroughFridayInc
,,,,,,,testFifteenMinInc
,,,,,,,testMsIncludedAndExcludedSegments
,,,,,,,testMs2IncludedAndExcludedSegments
,,,,,,,testMondayThroughFridayIncludedAndExcludedSegments
,,,,,,,testFifteenMinIncludedAndExcludedSegments
,,,,,,,testMsExceptionSegments
,,,,,,,testMs2BaseTimelineExceptionSegments
,,,,,,,testMondayThoughFridayExceptionSegments
,,,,,,,testFifteenMinExceptionSegments
,,,,,,,testMsTranslations
,,,,,,,testMs2BaseTimelineTranslations
,,,,,,,testMs2Translations
,,,,,,,testMondayThroughFridayTranslations
,,,,,,,testFifteenMinTranslations
,,,,,,,testSerialization
,,,,,,,testCloning
,,,,,,,testEquals
,,,,,,,testHashCode
,,,,,,,testSerialization2
,,,,,,,testBasicSegmentedTimeline
,,,,,,,testSegmentedTimelineWithException1
,,,,,src/test/java/org/jfree/chart/plot/ThermometerPlotTest.java,ThermometerPlotTest.java,testSetUnits
03/13/2017 15:22:32,"=HYPERLINK(""https://github.com/jfree/jfreechart/commit/7a5eb4da438e513501501c76e3f100999c3c6ee4"", ""7a5eb4da438e513501501c76e3f100999c3c6ee4"")","=HYPERLINK(""https://github.com/jfree/jfreechart/commit/6a67a2027cb181c8d00b88145a1b4b0116c38805"", ""6a67a2027cb181c8d00b88145a1b4b0116c38805"")",dave@jfree.org,Remove 3D effects (use Orson Charts for 3D).,src/test/java/org/jfree/chart/axis/CategoryAxis3DTest.java,CategoryAxis3DTest.java,testCloning
,,,,,,,testSerialization
,,,,,src/test/java/org/jfree/chart/axis/NumberAxis3DTest.java,NumberAxis3DTest.java,testSerialization
,,,,,src/test/java/org/jfree/chart/renderer/xy/XYLine3DRendererTest.java,XYLine3DRendererTest.java,testEquals
,,,,,,,testHashcode
,,,,,,,testCloning
,,,,,,,testPublicCloneable
,,,,,,,testSerialization
03/23/2017 03:15:07,"=HYPERLINK(""https://github.com/jfree/jfreechart/commit/5bbd9424426ae3713b4127c393eb7e01cdfb779b"", ""5bbd9424426ae3713b4127c393eb7e01cdfb779b"")","=HYPERLINK(""https://github.com/jfree/jfreechart/commit/6e4344fc60345d66d780c59046e9fdd68bfd2c0a"", ""6e4344fc60345d66d780c59046e9fdd68bfd2c0a"")",dave@jfree.org,Update for API changes.,src/test/java/org/jfree/chart/plot/PiePlotTest.java,PiePlotTest.java,testGetBaseSectionPaint
03/10/2020 16:36:56,"=HYPERLINK(""https://github.com/jfree/jfreechart/commit/5836f606082f076242abfb64e289355e53d1356e"", ""5836f606082f076242abfb64e289355e53d1356e"")","=HYPERLINK(""https://github.com/jfree/jfreechart/commit/7997d52f1ab449ddd2adf390f6ba94d848c2e3a5"", ""7997d52f1ab449ddd2adf390f6ba94d848c2e3a5"")",dave@jfree.org,Generics / warning fixes.,src/test/java/org/jfree/chart/PaintMapTest.java,PaintMapTest.java,testKeysOfDifferentClasses
07/02/2020 22:16:14,"=HYPERLINK(""https://github.com/jfree/jfreechart/commit/e8ec7697c823d9ca1a2e996a67c31fb5580e2e3c"", ""e8ec7697c823d9ca1a2e996a67c31fb5580e2e3c"")","=HYPERLINK(""https://github.com/jfree/jfreechart/commit/731b3f1c598a023ce628cc1d20d3ef78e8de7102"", ""731b3f1c598a023ce628cc1d20d3ef78e8de7102"")",tracy.hiltbrand@gmail.com,Removed PiePlot3D,src/test/java/org/jfree/chart/JFreeChartTest.java,JFreeChartTest.java,testSerialization2
,,,,,src/test/java/org/jfree/chart/PieChart3DTest.java,PieChart3DTest.java,testReplaceDatasetOnPieChart
,,,,,,,testNullValueInDataset
