Datetime,Hash,Commit Msg,Filename,Removed Test Case,Manual Validation,Final Results,Ajay Manual Validation,Suraj Manual Validation,Ajay Comments,Suraj Comments
11/13/2008 20:17:19,"=HYPERLINK(""https://github.com/google/gson/commit/bc2c25f235808c7e90d9bde6b2795997405af0cf"", ""bc2c25f235808c7e90d9bde6b2795997405af0cf"")","Removed ExceptionWrapper from serializers. 
This is done since it is improper to throw a parse exception from serializers. Moreover, the serializers dont deal with external input, they deal with classes, so they need not guard against spurious input.",JsonSerializerExceptionWrapperTest.java,testRethrowJsonParseException,yes,yes,yes,yes,,
11/13/2008 20:17:19,"=HYPERLINK(""https://github.com/google/gson/commit/bc2c25f235808c7e90d9bde6b2795997405af0cf"", ""bc2c25f235808c7e90d9bde6b2795997405af0cf"")","Removed ExceptionWrapper from serializers. 
This is done since it is improper to throw a parse exception from serializers. Moreover, the serializers dont deal with external input, they deal with classes, so they need not guard against spurious input.",JsonSerializerExceptionWrapperTest.java,testWrappedExceptionPropagation,yes,yes,yes,yes,,
11/13/2008 20:17:19,"=HYPERLINK(""https://github.com/google/gson/commit/bc2c25f235808c7e90d9bde6b2795997405af0cf"", ""bc2c25f235808c7e90d9bde6b2795997405af0cf"")","Removed ExceptionWrapper from serializers. 
This is done since it is improper to throw a parse exception from serializers. Moreover, the serializers dont deal with external input, they deal with classes, so they need not guard against spurious input.",JsonSerializerExceptionWrapperTest.java,testProperSerialization,yes,yes,yes,yes,,
11/14/2008 23:11:28,"=HYPERLINK(""https://github.com/google/gson/commit/cf2a457af7b0422e7728e0d55a4e794048af5a6b"", ""cf2a457af7b0422e7728e0d55a4e794048af5a6b"")",Removed the TypeAdapter object from GSON now that the primitive objects and fields are created by a custom Type Adapter.,PrimitiveTypeAdapterTest.java,testImproperConversion,yes,yes,yes,yes,,
11/14/2008 23:11:28,"=HYPERLINK(""https://github.com/google/gson/commit/cf2a457af7b0422e7728e0d55a4e794048af5a6b"", ""cf2a457af7b0422e7728e0d55a4e794048af5a6b"")",Removed the TypeAdapter object from GSON now that the primitive objects and fields are created by a custom Type Adapter.,PrimitiveTypeAdapterTest.java,testImproperCharacterConversion,yes,yes,yes,yes,,
11/14/2008 23:11:28,"=HYPERLINK(""https://github.com/google/gson/commit/cf2a457af7b0422e7728e0d55a4e794048af5a6b"", ""cf2a457af7b0422e7728e0d55a4e794048af5a6b"")",Removed the TypeAdapter object from GSON now that the primitive objects and fields are created by a custom Type Adapter.,PrimitiveTypeAdapterTest.java,testProperPrimitiveConversions,yes,yes,yes,yes,,
11/14/2008 23:11:28,"=HYPERLINK(""https://github.com/google/gson/commit/cf2a457af7b0422e7728e0d55a4e794048af5a6b"", ""cf2a457af7b0422e7728e0d55a4e794048af5a6b"")",Removed the TypeAdapter object from GSON now that the primitive objects and fields are created by a custom Type Adapter.,PrimitiveTypeAdapterTest.java,testProperEnumConversions,yes,yes,yes,yes,,
12/19/2008 11:46:24,"=HYPERLINK(""https://github.com/google/gson/commit/53f7d26b6d442467d54f0e61fdf030cd395011f7"", ""53f7d26b6d442467d54f0e61fdf030cd395011f7"")","removed tests for serialization of BigDecimal NaN, positive and negative infinity since BigDecimal can not be created with these values.",PrimitiveTest.java,testBigDecimalNaNSerializationNotSupported,yes,yes,yes,yes,,
12/19/2008 11:46:24,"=HYPERLINK(""https://github.com/google/gson/commit/53f7d26b6d442467d54f0e61fdf030cd395011f7"", ""53f7d26b6d442467d54f0e61fdf030cd395011f7"")","removed tests for serialization of BigDecimal NaN, positive and negative infinity since BigDecimal can not be created with these values.",PrimitiveTest.java,testBigDecimalInfinitySerializationNotSupported,yes,yes,yes,yes,,
12/19/2008 11:46:24,"=HYPERLINK(""https://github.com/google/gson/commit/53f7d26b6d442467d54f0e61fdf030cd395011f7"", ""53f7d26b6d442467d54f0e61fdf030cd395011f7"")","removed tests for serialization of BigDecimal NaN, positive and negative infinity since BigDecimal can not be created with these values.",PrimitiveTest.java,testNegativeInfinityBigDecimalSerializationNotSupported,yes,yes,yes,yes,,
03/30/2009 13:36:55,"=HYPERLINK(""https://github.com/google/gson/commit/e340801d258e18f733620b0fd03d65fffb8df6c3"", ""e340801d258e18f733620b0fd03d65fffb8df6c3"")",Moved enum-related tests under EnumTest class.,EnumTest.java,testEnumFieldSerialization,conflict,yes,no,yes,,looks modified but is deleted
03/30/2009 13:36:55,"=HYPERLINK(""https://github.com/google/gson/commit/e340801d258e18f733620b0fd03d65fffb8df6c3"", ""e340801d258e18f733620b0fd03d65fffb8df6c3"")",Moved enum-related tests under EnumTest class.,EnumTest.java,testEnumFieldDeserialization,conflict,yes,no,yes,,looks modified but is deleted
05/19/2009 12:59:32,"=HYPERLINK(""https://github.com/google/gson/commit/cd9bd710927b7c2a2f01b75430a42e58b18fb456"", ""cd9bd710927b7c2a2f01b75430a42e58b18fb456"")",Allow JS Keywords as field name.  These names are quoted anyways (and are valid according to the JSON spec) so it should not cause any issues.,JsonFieldNameValidatorTest.java,testKeywordAsFieldName,no,no,no,no,,renamed and refactored
09/23/2009 13:28:03,"=HYPERLINK(""https://github.com/google/gson/commit/50eb582657b5a07aa4aec22f11c9f3071eb631a8"", ""50eb582657b5a07aa4aec22f11c9f3071eb631a8"")",Ensure that the JsonElement.toString() will always generate valid JSON (even when  control characters/whitespace characters are used).,JsonEscapingVisitorTest.java,testNonStringPrimitiveVisitation,yes,yes,yes,yes,,
09/23/2009 13:28:03,"=HYPERLINK(""https://github.com/google/gson/commit/50eb582657b5a07aa4aec22f11c9f3071eb631a8"", ""50eb582657b5a07aa4aec22f11c9f3071eb631a8"")",Ensure that the JsonElement.toString() will always generate valid JSON (even when  control characters/whitespace characters are used).,JsonEscapingVisitorTest.java,testStringPrimitiveVisitationNoEscapingRequired,yes,yes,yes,yes,,
09/23/2009 13:28:03,"=HYPERLINK(""https://github.com/google/gson/commit/50eb582657b5a07aa4aec22f11c9f3071eb631a8"", ""50eb582657b5a07aa4aec22f11c9f3071eb631a8"")",Ensure that the JsonElement.toString() will always generate valid JSON (even when  control characters/whitespace characters are used).,JsonEscapingVisitorTest.java,testStringPrimitiveVisitationEscapingRequired,yes,yes,yes,yes,,
09/23/2009 13:28:03,"=HYPERLINK(""https://github.com/google/gson/commit/50eb582657b5a07aa4aec22f11c9f3071eb631a8"", ""50eb582657b5a07aa4aec22f11c9f3071eb631a8"")",Ensure that the JsonElement.toString() will always generate valid JSON (even when  control characters/whitespace characters are used).,JsonEscapingVisitorTest.java,testNonStringArrayVisitation,yes,yes,yes,yes,,
09/23/2009 13:28:03,"=HYPERLINK(""https://github.com/google/gson/commit/50eb582657b5a07aa4aec22f11c9f3071eb631a8"", ""50eb582657b5a07aa4aec22f11c9f3071eb631a8"")",Ensure that the JsonElement.toString() will always generate valid JSON (even when  control characters/whitespace characters are used).,JsonEscapingVisitorTest.java,testStringArrayVisitationNoEscaping,yes,yes,yes,yes,,
09/23/2009 13:28:03,"=HYPERLINK(""https://github.com/google/gson/commit/50eb582657b5a07aa4aec22f11c9f3071eb631a8"", ""50eb582657b5a07aa4aec22f11c9f3071eb631a8"")",Ensure that the JsonElement.toString() will always generate valid JSON (even when  control characters/whitespace characters are used).,JsonEscapingVisitorTest.java,testStringArrayVisitationEscapingRequired,yes,yes,yes,yes,,
09/23/2009 13:28:03,"=HYPERLINK(""https://github.com/google/gson/commit/50eb582657b5a07aa4aec22f11c9f3071eb631a8"", ""50eb582657b5a07aa4aec22f11c9f3071eb631a8"")",Ensure that the JsonElement.toString() will always generate valid JSON (even when  control characters/whitespace characters are used).,JsonEscapingVisitorTest.java,testNonStringFieldVisitation,yes,yes,yes,yes,,
09/23/2009 13:28:03,"=HYPERLINK(""https://github.com/google/gson/commit/50eb582657b5a07aa4aec22f11c9f3071eb631a8"", ""50eb582657b5a07aa4aec22f11c9f3071eb631a8"")",Ensure that the JsonElement.toString() will always generate valid JSON (even when  control characters/whitespace characters are used).,JsonEscapingVisitorTest.java,testStringFieldVisitationNoEscaping,yes,yes,yes,yes,,
09/23/2009 13:28:03,"=HYPERLINK(""https://github.com/google/gson/commit/50eb582657b5a07aa4aec22f11c9f3071eb631a8"", ""50eb582657b5a07aa4aec22f11c9f3071eb631a8"")",Ensure that the JsonElement.toString() will always generate valid JSON (even when  control characters/whitespace characters are used).,JsonEscapingVisitorTest.java,testStringFieldVisitationEscapingRequired,yes,yes,yes,yes,,
11/01/2010 17:57:39,"=HYPERLINK(""https://github.com/google/gson/commit/43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"", ""43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"")",Removed JavaCC parser definition and its generated classes.,StringUnmarshallerTest.java,testCtrlN,yes,yes,yes,yes,,
11/01/2010 17:57:39,"=HYPERLINK(""https://github.com/google/gson/commit/43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"", ""43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"")",Removed JavaCC parser definition and its generated classes.,StringUnmarshallerTest.java,testCtrlR,yes,yes,yes,yes,,
11/01/2010 17:57:39,"=HYPERLINK(""https://github.com/google/gson/commit/43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"", ""43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"")",Removed JavaCC parser definition and its generated classes.,StringUnmarshallerTest.java,testCtrlT,yes,yes,yes,yes,,
11/01/2010 17:57:39,"=HYPERLINK(""https://github.com/google/gson/commit/43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"", ""43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"")",Removed JavaCC parser definition and its generated classes.,StringUnmarshallerTest.java,testBackSpace,yes,yes,yes,yes,,
11/01/2010 17:57:39,"=HYPERLINK(""https://github.com/google/gson/commit/43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"", ""43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"")",Removed JavaCC parser definition and its generated classes.,StringUnmarshallerTest.java,testFormFeed,yes,yes,yes,yes,,
11/01/2010 17:57:39,"=HYPERLINK(""https://github.com/google/gson/commit/43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"", ""43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"")",Removed JavaCC parser definition and its generated classes.,StringUnmarshallerTest.java,testSingleQuote,yes,yes,yes,yes,,
11/01/2010 17:57:39,"=HYPERLINK(""https://github.com/google/gson/commit/43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"", ""43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"")",Removed JavaCC parser definition and its generated classes.,StringUnmarshallerTest.java,testSingleQuoteEscaped,yes,yes,yes,yes,,
11/01/2010 17:57:39,"=HYPERLINK(""https://github.com/google/gson/commit/43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"", ""43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"")",Removed JavaCC parser definition and its generated classes.,StringUnmarshallerTest.java,testDoubleQuote,yes,yes,yes,yes,,
11/01/2010 17:57:39,"=HYPERLINK(""https://github.com/google/gson/commit/43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"", ""43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"")",Removed JavaCC parser definition and its generated classes.,StringUnmarshallerTest.java,testDoubleQuoteEscaped,yes,yes,yes,yes,,
11/01/2010 17:57:39,"=HYPERLINK(""https://github.com/google/gson/commit/43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"", ""43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"")",Removed JavaCC parser definition and its generated classes.,StringUnmarshallerTest.java,testBackslash,yes,yes,yes,yes,,
11/01/2010 17:57:39,"=HYPERLINK(""https://github.com/google/gson/commit/43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"", ""43f2a0012b5fb9c94a5e1bb926034e136a3a8dfb"")",Removed JavaCC parser definition and its generated classes.,StringUnmarshallerTest.java,testUnicodeString,yes,yes,yes,yes,,
11/12/2010 11:12:46,"=HYPERLINK(""https://github.com/google/gson/commit/822d1bc75e70538f01638955bf766316e416499c"", ""822d1bc75e70538f01638955bf766316e416499c"")",moved contents of wsdef to greaze-definition.,IdTest.java,testRawTypeNotEqualToParameterizedOfConcreteType,yes,yes,yes,yes,,
11/12/2010 11:12:46,"=HYPERLINK(""https://github.com/google/gson/commit/822d1bc75e70538f01638955bf766316e416499c"", ""822d1bc75e70538f01638955bf766316e416499c"")",moved contents of wsdef to greaze-definition.,IdTest.java,testRawTypeEqualToParameterizedOfWildcardType,yes,yes,yes,yes,,
11/12/2010 11:12:46,"=HYPERLINK(""https://github.com/google/gson/commit/822d1bc75e70538f01638955bf766316e416499c"", ""822d1bc75e70538f01638955bf766316e416499c"")",moved contents of wsdef to greaze-definition.,IdTest.java,testStaticEquals,yes,yes,yes,yes,,
